ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1669734000,48.0,136.0,57.0,0.0,349.0,144.0,213.0,74.0,67.0,0.0,145.0,175.0,205.0,0.0,18.0,58.0
1669737600,80.0,63.0,56.0,36.0,317.0,133.0,185.0,63.0,245.0,0.0,144.0,182.0,222.0,88.0,11.0,55.0
1669741200,0.0,85.0,50.0,24.0,346.0,72.0,89.0,55.0,68.0,0.0,232.0,186.0,336.0,309.0,57.0,50.0
1669744800,0.0,103.0,262.0,0.0,16.0,144.0,84.0,42.0,349.0,0.0,169.0,197.0,26.0,0.0,57.0,49.0
1669748400,16.0,102.0,78.0,29.0,355.0,122.0,327.0,29.0,90.0,0.0,177.0,218.0,6.0,12.0,57.0,39.0
1669752000,38.0,136.0,93.0,45.0,19.0,100.0,309.0,27.0,43.0,0.0,32.0,254.0,347.0,0.0,57.0,36.0
1669755600,5.0,146.0,77.0,39.0,6.0,138.0,315.0,26.0,161.0,0.0,0.0,326.0,5.0,154.0,57.0,30.0
1669759200,15.0,41.0,56.0,51.0,10.0,33.0,32.0,22.0,16.0,5.0,26.0,358.0,14.0,13.0,21.0,30.0
1669762800,10.0,32.0,53.0,40.0,16.0,38.0,16.0,27.0,24.0,4.0,24.0,4.0,10.0,7.0,22.0,31.0
1669766400,21.0,39.0,51.0,42.0,24.0,35.0,35.0,32.0,22.0,13.0,35.0,21.0,18.0,51.0,26.0,35.0
1669770000,30.0,40.0,49.0,51.0,31.0,34.0,38.0,34.0,26.0,15.0,28.0,40.0,22.0,46.0,30.0,38.0
1669773600,28.0,32.0,59.0,51.0,33.0,30.0,40.0,31.0,27.0,14.0,22.0,52.0,14.0,49.0,29.0,37.0
1669777200,26.0,27.0,58.0,51.0,33.0,25.0,37.0,28.0,21.0,11.0,24.0,42.0,21.0,30.0,26.0,35.0
1669780800,24.0,22.0,69.0,57.0,30.0,22.0,34.0,27.0,19.0,14.0,21.0,39.0,13.0,32.0,27.0,33.0
