ts,chanceOfRain,weather
1667318400,0.6,Unknown
1667404800,0.6,Unknown
1667491200,0.6,Unknown
1667577600,0.2,Unknown
1667664000,0.2,Unknown
1667750400,0.2,Unknown
1667836800,0.2,Unknown
1667923200,0.2,Unknown
1668009600,0.0,Unknown
