ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1669734000,,,,,,,,,,,,,,,,
1669737600,,,,,,,,,,,,,,,,
1669741200,,,,,,,,,,,,,,,,
1669744800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1669748400,,,,,,,,,,,,,,,,
1669752000,,,,,,,,,,,,,,,,
1669755600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1669759200,,,,,,,,,,,,,,,,
1669762800,,,,,,,,,,,,,,,,
1669766400,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Periods
1669770000,,,,,,,,,,,,,,,,
1669773600,,,,,,,,,,,,,,,,
1669777200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Sunny Intervals,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Sunny Intervals,Cloudy,Cloudy,Cloudy
1669780800,,,,,,,,,,,,,,,,
1669784400,,,,,,,,,,,,,,,,
1669788000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669791600,,,,,,,,,,,,,,,,
1669795200,,,,,,,,,,,,,,,,
1669798800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669802400,,,,,,,,,,,,,,,,
1669806000,,,,,,,,,,,,,,,,
1669809600,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669813200,,,,,,,,,,,,,,,,
