ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1669561200,20.2,20.2,13.0,2.5,7.6,14.4,9.0,12.2,11.5,7.2,10.4,6.4,5.4,14.4,22.7,9.0
1669564800,18.7,19.4,12.2,2.5,5.0,11.2,21.2,11.3,11.2,3.6,11.2,5.6,5.4,13.3,15.8,8.6
1669568400,20.9,19.1,11.5,2.2,5.8,11.9,12.6,10.7,11.2,5.0,11.5,4.5,8.6,14.8,18.0,7.5
1669572000,16.6,16.6,8.6,5.0,0.4,12.2,16.6,10.4,10.8,0.4,10.8,4.0,4.0,12.2,19.1,7.8
1669575600,16.9,16.7,8.7,4.8,0.0,11.8,18.3,10.3,10.7,0.0,11.0,4.8,4.5,12.6,18.3,7.2
1669579200,16.5,16.2,9.1,4.7,0.9,12.2,17.6,10.6,10.0,0.1,9.2,4.1,4.4,11.4,17.4,7.1
1669582800,14.6,15.4,9.3,4.2,0.7,11.4,16.3,10.7,8.3,0.0,8.4,5.3,3.2,10.9,18.3,7.5
1669586400,13.2,15.2,8.6,5.1,1.1,11.5,16.0,11.0,7.4,0.4,7.2,4.6,4.1,9.5,18.7,8.1
1669590000,12.9,14.7,8.3,3.9,1.2,11.4,15.3,10.9,6.7,0.4,5.7,4.1,3.5,8.1,15.9,7.6
1669593600,12.8,14.8,9.0,4.8,2.9,10.2,15.2,12.2,6.7,1.9,6.2,6.5,4.9,8.1,15.1,8.0
1669597200,13.1,15.6,10.0,5.8,4.3,12.2,15.8,14.1,8.2,5.7,7.6,8.7,6.5,8.2,15.9,9.0
1669600800,13.0,15.5,10.7,7.0,5.7,13.3,17.2,15.0,7.8,8.5,7.5,9.7,6.9,9.1,15.1,9.6
1669604400,12.7,15.6,11.3,7.4,7.4,14.1,16.6,15.7,7.8,10.0,8.1,10.3,8.3,9.0,14.5,9.6
1669608000,12.5,15.6,12.5,7.4,7.2,13.9,15.4,16.1,8.3,11.3,8.4,11.1,7.5,9.1,13.4,9.8
1669611600,14.9,15.4,12.6,7.5,7.0,13.6,14.8,15.6,7.9,10.9,8.4,11.9,8.4,9.2,13.6,9.4
1669615200,13.9,15.7,12.1,7.2,7.2,14.5,14.3,15.6,8.3,10.2,8.8,11.5,8.6,9.5,12.3,9.1
1669618800,15.8,15.3,11.6,7.3,6.4,14.7,12.9,14.9,7.5,9.1,8.6,11.4,7.6,9.3,12.0,9.1
1669622400,15.7,14.6,11.2,6.4,5.7,14.9,12.3,13.7,7.5,7.6,7.9,10.6,8.4,8.9,12.1,8.8
1669626000,13.2,13.1,11.0,4.8,4.5,13.2,10.7,11.8,6.4,6.9,6.8,8.6,7.2,7.0,12.6,8.2
1669629600,10.6,12.1,8.7,3.2,3.8,12.3,9.8,10.3,3.7,3.0,5.6,7.4,7.2,5.6,10.1,6.5
1669633200,8.1,12.1,8.6,1.8,3.0,10.9,8.5,9.1,3.9,2.0,3.8,6.4,6.5,4.0,8.7,6.3
1669636800,8.2,11.6,7.9,1.8,3.2,10.1,9.2,8.1,4.0,2.2,3.7,5.6,6.0,3.3,9.1,6.5
1669640400,7.8,11.8,7.5,1.3,3.3,9.3,8.3,7.7,2.9,1.8,3.4,3.6,5.3,3.9,9.0,6.2
1669644000,6.9,11.3,6.7,0.9,1.8,8.5,9.4,7.7,2.1,0.9,2.3,2.4,4.8,2.2,7.0,5.3
1669647600,6.2,10.2,6.5,0.9,1.2,8.9,8.0,7.6,1.3,0.9,1.8,2.8,3.9,2.0,7.4,4.3
1669651200,5.8,10.8,4.9,0.6,1.1,7.2,8.2,7.5,1.6,0.9,2.1,3.3,4.8,2.9,8.0,4.5
1669654800,6.3,10.1,5.4,0.5,0.5,6.5,7.9,7.4,1.5,1.1,1.5,1.9,4.3,2.1,8.0,4.0
1669658400,4.4,8.0,5.7,0.4,1.4,6.4,7.1,7.3,1.8,1.5,1.8,2.3,2.9,2.2,7.2,5.0
1669662000,5.1,7.6,6.1,0.6,1.2,6.1,9.8,6.9,1.6,1.4,2.1,3.4,3.4,2.7,7.6,4.9
1669665600,5.0,7.8,7.1,0.7,1.6,6.4,8.7,6.5,1.7,1.1,1.2,2.2,3.0,2.4,6.8,4.6
1669669200,3.8,7.7,6.9,0.7,1.3,6.5,7.8,5.8,1.1,1.0,1.3,3.3,1.9,2.6,7.7,4.5
1669672800,3.2,8.0,5.7,1.1,1.3,6.3,8.1,5.3,1.1,1.0,1.0,2.3,2.3,1.6,8.2,4.1
1669676400,3.0,6.9,4.9,0.8,0.7,6.0,6.9,4.5,1.3,1.0,0.6,1.5,1.4,1.1,5.9,3.5
1669680000,3.7,7.4,6.0,1.3,2.2,4.2,6.5,4.2,1.7,0.9,1.2,3.7,2.3,1.7,5.7,2.9
1669683600,3.4,8.7,6.5,2.6,3.2,4.9,6.3,4.0,3.6,1.6,2.5,5.1,3.5,1.8,6.9,3.1
1669687200,4.6,8.9,7.3,4.5,4.8,6.3,8.0,3.9,4.5,4.5,3.2,5.9,3.6,4.5,7.6,4.2
1669690800,5.6,10.4,8.2,5.9,6.2,8.1,8.1,4.7,5.0,5.9,4.0,6.5,5.1,6.0,8.1,4.2
1669694400,5.7,10.0,10.2,6.2,5.9,9.3,6.5,6.2,5.6,7.4,4.5,7.2,5.0,6.4,7.0,4.7
1669698000,8.8,10.9,10.5,6.1,6.2,9.8,7.1,7.7,5.8,7.8,5.1,9.3,7.0,6.9,6.9,4.8
1669701600,8.2,11.8,10.1,5.6,6.5,11.2,7.6,8.7,6.2,7.5,5.8,8.8,7.3,7.2,5.6,5.1
1669705200,10.3,11.3,9.7,6.2,5.5,12.1,7.0,8.6,5.7,7.1,6.4,9.2,6.3,7.8,5.5,5.5
1669708800,9.7,11.4,9.4,5.3,5.1,12.3,7.4,8.3,6.3,5.8,6.5,8.8,7.3,7.6,7.2,5.7
1669712400,8.5,10.2,9.4,4.0,3.9,11.0,6.2,7.1,5.3,5.2,5.2,6.6,6.6,5.4,8.0,5.6
