ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1669561200,,,,,,,,,,,,,,,,
1669564800,,,,,,,,,,,,,,,,
1669568400,,,,,,,,,,,,,,,,
1669572000,Light Rain,Cloudy,Cloudy,Cloudy,Light Rain,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Light Rain,Mainly Cloudly
1669575600,,,,,,,,,,,,,,,,
1669579200,,,,,,,,,,,,,,,,
1669582800,Light Rain,Mainly Cloudly,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Light Rain,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Fine,Mainly Cloudly
1669586400,,,,,,,,,,,,,,,,
1669590000,,,,,,,,,,,,,,,,
1669593600,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny,Sunny Periods
1669597200,,,,,,,,,,,,,,,,
1669600800,,,,,,,,,,,,,,,,
1669604400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny
1669608000,,,,,,,,,,,,,,,,
1669611600,,,,,,,,,,,,,,,,
1669615200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
1669618800,,,,,,,,,,,,,,,,
1669622400,,,,,,,,,,,,,,,,
1669626000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
1669629600,,,,,,,,,,,,,,,,
1669633200,,,,,,,,,,,,,,,,
1669636800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1669640400,,,,,,,,,,,,,,,,
1669644000,,,,,,,,,,,,,,,,
1669647600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Unknown,Unknown,Unknown
1669651200,,,,,,,,,,,,,,,,
1669654800,,,,,,,,,,,,,,,,
1669658400,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Cloudy,Cloudy,Cloudy,Cloudy,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly
1669662000,,,,,,,,,,,,,,,,
1669665600,,,,,,,,,,,,,,,,
1669669200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669672800,,,,,,,,,,,,,,,,
1669676400,,,,,,,,,,,,,,,,
1669680000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669683600,,,,,,,,,,,,,,,,
1669687200,,,,,,,,,,,,,,,,
1669690800,Sunny Intervals,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Intervals,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Intervals,Cloudy,Sunny Intervals
1669694400,,,,,,,,,,,,,,,,
1669698000,,,,,,,,,,,,,,,,
1669701600,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny Periods
1669705200,,,,,,,,,,,,,,,,
1669708800,,,,,,,,,,,,,,,,
1669712400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
1669716000,,,,,,,,,,,,,,,,
1669719600,,,,,,,,,,,,,,,,
1669723200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1669726800,,,,,,,,,,,,,,,,
1669730400,,,,,,,,,,,,,,,,
1669734000,Unknown,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine
1669737600,,,,,,,,,,,,,,,,
1669741200,,,,,,,,,,,,,,,,
1669744800,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
1669748400,,,,,,,,,,,,,,,,
1669752000,,,,,,,,,,,,,,,,
1669755600,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly
1669759200,,,,,,,,,,,,,,,,
1669762800,,,,,,,,,,,,,,,,
1669766400,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1669770000,,,,,,,,,,,,,,,,
1669773600,,,,,,,,,,,,,,,,
1669777200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669780800,,,,,,,,,,,,,,,,
1669784400,,,,,,,,,,,,,,,,
1669788000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669791600,,,,,,,,,,,,,,,,
1669795200,,,,,,,,,,,,,,,,
1669798800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669802400,,,,,,,,,,,,,,,,
1669806000,,,,,,,,,,,,,,,,
1669809600,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669813200,,,,,,,,,,,,,,,,
1669816800,,,,,,,,,,,,,,,,
1669820400,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669824000,,,,,,,,,,,,,,,,
1669827600,,,,,,,,,,,,,,,,
1669831200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669834800,,,,,,,,,,,,,,,,
1669838400,,,,,,,,,,,,,,,,
1669842000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669845600,,,,,,,,,,,,,,,,
1669849200,,,,,,,,,,,,,,,,
1669852800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669856400,,,,,,,,,,,,,,,,
1669860000,,,,,,,,,,,,,,,,
1669863600,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1669867200,,,,,,,,,,,,,,,,
1669870800,,,,,,,,,,,,,,,,
