ts,CCH,HKA,LFS,SHA,SKG,TKL,TY1,G153
1667314800,,,,,,,,
1667318400,,,,,,,,
1667322000,,,,,,,,
1667325600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667329200,,,,,,,,
1667332800,,,,,,,,
1667336400,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667340000,,,,,,,,
1667343600,,,,,,,,
1667347200,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667350800,,,,,,,,
1667354400,,,,,,,,
1667358000,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667361600,,,,,,,,
1667365200,,,,,,,,
1667368800,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667372400,,,,,,,,
1667376000,,,,,,,,
1667379600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667383200,,,,,,,,
1667386800,,,,,,,,
1667390400,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667394000,,,,,,,,
1667397600,,,,,,,,
1667401200,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667404800,,,,,,,,
1667408400,,,,,,,,
1667412000,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667415600,,,,,,,,
1667419200,,,,,,,,
1667422800,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667426400,,,,,,,,
1667430000,,,,,,,,
1667433600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667437200,,,,,,,,
1667440800,,,,,,,,
1667444400,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667448000,,,,,,,,
1667451600,,,,,,,,
1667455200,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667458800,,,,,,,,
1667462400,,,,,,,,
1667466000,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,
1667469600,,,,,,,,
1667473200,,,,,,,,
1667476800,Cloudy,Light Rain,Cloudy,Light Rain,Light Rain,Light Rain,Light Rain,
1667480400,,,,,,,,
1667484000,,,,,,,,
1667487600,Light Rain,Light Rain,Cloudy,Light Rain,Light Rain,Cloudy,Light Rain,
1667491200,,,,,,,,
1667494800,,,,,,,,
1667498400,Cloudy,Cloudy,Cloudy,Light Rain,Light Rain,Cloudy,Light Rain,
1667502000,,,,,,,,
1667505600,,,,,,,,
1667509200,Cloudy,Cloudy,Cloudy,Cloudy,Light Rain,Cloudy,Light Rain,
1667512800,,,,,,,,
1667516400,,,,,,,,
1667520000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,
1667523600,,,,,,,,
1667527200,,,,,,,,
1667530800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,
1667534400,,,,,,,,
1667538000,,,,,,,,
1667541600,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,
1667545200,,,,,,,,
1667548800,,,,,,,,
1667552400,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667556000,,,,,,,,
1667559600,,,,,,,,
1667563200,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667566800,,,,,,,,
1667570400,,,,,,,,
1667574000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,
1667577600,,,,,,,,
1667581200,,,,,,,,
1667584800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,
1667588400,,,,,,,,
1667592000,,,,,,,,
1667595600,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667599200,,,,,,,,
1667602800,,,,,,,,
1667606400,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667610000,,,,,,,,
1667613600,,,,,,,,
1667617200,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Sunny Intervals,
1667620800,,,,,,,,
1667624400,,,,,,,,
1667628000,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Sunny Intervals,
1667631600,,,,,,,,
1667635200,,,,,,,,
1667638800,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667642400,,,,,,,,
1667646000,,,,,,,,
1667649600,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667653200,,,,,,,,
1667656800,,,,,,,,
1667660400,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667664000,,,,,,,,
1667667600,,,,,,,,
1667671200,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667674800,,,,,,,,
1667678400,,,,,,,,
1667682000,Mainly Cloudly ,Mainly Cloudly ,Mainly Fine,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667685600,,,,,,,,
1667689200,,,,,,,,
1667692800,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667696400,,,,,,,,
1667700000,,,,,,,,
1667703600,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,
1667707200,,,,,,,,
1667710800,,,,,,,,
1667714400,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,
1667718000,,,,,,,,
1667721600,,,,,,,,
1667725200,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667728800,,,,,,,,
1667732400,,,,,,,,
1667736000,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,
1667739600,,,,,,,,
1667743200,,,,,,,,
1667746800,Mainly Cloudly ,Mainly Fine,Unknown,Mainly Fine,Mainly Cloudly ,Unknown,Mainly Fine,
1667750400,,,,,,,,
1667754000,,,,,,,,
1667757600,Mainly Cloudly ,Mainly Fine,Unknown,Mainly Fine,Mainly Cloudly ,Unknown,Mainly Fine,
1667761200,,,,,,,,
1667764800,,,,,,,,
1667768400,Mainly Cloudly ,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly ,Mainly Fine,Mainly Fine,
1667772000,,,,,,,,
1667775600,,,,,,,,
1667779200,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Periods,Sunny Periods,
1667782800,,,,,,,,
1667786400,,,,,,,,
1667790000,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667793600,,,,,,,,
1667797200,,,,,,,,
1667800800,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667804400,,,,,,,,
1667808000,,,,,,,,
1667811600,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,
1667815200,,,,,,,,
1667818800,,,,,,,,
1667822400,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,
1667826000,,,,,,,,
1667829600,,,,,,,,
1667833200,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Fine,
1667836800,,,,,,,,
1667840400,,,,,,,,
1667844000,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Fine,
1667847600,,,,,,,,
1667851200,,,,,,,,
1667854800,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,
1667858400,,,,,,,,
1667862000,,,,,,,,
1667865600,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,
1667869200,,,,,,,,
1667872800,,,,,,,,
1667876400,Sunny,Sunny Periods,Sunny Intervals,Sunny,Sunny,Sunny Periods,Sunny Periods,
1667880000,,,,,,,,
1667883600,,,,,,,,
1667887200,Sunny,Sunny Periods,Sunny Intervals,Sunny,Sunny,Sunny Periods,Sunny Periods,
1667890800,,,,,,,,
1667894400,,,,,,,,
1667898000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1667901600,,,,,,,,
1667905200,,,,,,,,
1667908800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1667912400,,,,,,,,
1667916000,,,,,,,,
1667919600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1667923200,,,,,,,,
1667926800,,,,,,,,
1667930400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1667934000,,,,,,,,
1667937600,,,,,,,,
1667941200,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,
1667944800,,,,,,,,
1667948400,,,,,,,,
1667952000,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,
1667955600,,,,,,,,
1667959200,,,,,,,,
1667962800,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,
1667966400,,,,,,,,
1667970000,,,,,,,,
1667973600,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,
1667977200,,,,,,,,
1667980800,,,,,,,,
1667984400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1667988000,,,,,,,,
1667991600,,,,,,,,
1667995200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1667998800,,,,,,,,
1668002400,,,,,,,,
1668006000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1668009600,,,,,,,,
1668013200,,,,,,,,
1668016800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1668020400,,,,,,,,
1668024000,,,,,,,,
1668027600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1668031200,,,,,,,,
1668034800,,,,,,,,
1668038400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1668042000,,,,,,,,
1668045600,,,,,,,,
1668049200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1668052800,,,,,,,,
1668056400,,,,,,,,
1668060000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1668063600,,,,,,,,
1668067200,,,,,,,,
1668070800,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,
1668074400,,,,,,,,
1668078000,,,,,,,,
1668081600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1668085200,,,,,,,,
1668088800,,,,,,,,
1668092400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
1668096000,,,,,,,,
