ts,cch,hka,lfs,sha,skg,tkl,ty1,g153
1667358000,,,,,,,,
1667361600,,,,,,,,
1667365200,,,,,,,,
1667368800,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667372400,,,,,,,,
1667376000,,,,,,,,
1667379600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667383200,,,,,,,,
1667386800,,,,,,,,
1667390400,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667394000,,,,,,,,
1667397600,,,,,,,,
1667401200,Rain,Light Rain,Light Rain,Rain,Rain,Light Rain,Rain,Rain
1667404800,,,,,,,,
1667408400,,,,,,,,
1667412000,Rain,Rain,Light Rain,Rain,Rain,Rain,Rain,Rain
1667415600,,,,,,,,
1667419200,,,,,,,,
1667422800,Light Rain,Light Rain,Rain,Rain,Rain,Rain,Rain,Rain
1667426400,,,,,,,,
1667430000,,,,,,,,
1667433600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667437200,,,,,,,,
1667440800,,,,,,,,
1667444400,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667448000,,,,,,,,
1667451600,,,,,,,,
1667455200,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667458800,,,,,,,,
1667462400,,,,,,,,
1667466000,Cloudy,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667469600,,,,,,,,
1667473200,,,,,,,,
1667476800,Cloudy,Cloudy,Cloudy,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667480400,,,,,,,,
1667484000,,,,,,,,
1667487600,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain
1667491200,,,,,,,,
1667494800,,,,,,,,
1667498400,Cloudy,Cloudy,Cloudy,Light Rain,Cloudy,Cloudy,Light Rain,Light Rain
1667502000,,,,,,,,
1667505600,,,,,,,,
1667509200,Cloudy,Cloudy,Cloudy,Light Rain,Cloudy,Cloudy,Light Rain,Light Rain
1667512800,,,,,,,,
1667516400,,,,,,,,
1667520000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667523600,,,,,,,,
1667527200,,,,,,,,
1667530800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667534400,,,,,,,,
1667538000,,,,,,,,
1667541600,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Cloudy,Cloudy,Sunny Intervals,Sunny Intervals
1667545200,,,,,,,,
1667548800,,,,,,,,
1667552400,Sunny Intervals,Sunny Intervals,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667556000,,,,,,,,
1667559600,,,,,,,,
1667563200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667566800,,,,,,,,
1667570400,,,,,,,,
1667574000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667577600,,,,,,,,
1667581200,,,,,,,,
1667584800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667588400,,,,,,,,
1667592000,,,,,,,,
1667595600,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly 
1667599200,,,,,,,,
1667602800,,,,,,,,
1667606400,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667610000,,,,,,,,
1667613600,,,,,,,,
1667617200,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667620800,,,,,,,,
1667624400,,,,,,,,
1667628000,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667631600,,,,,,,,
1667635200,,,,,,,,
1667638800,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667642400,,,,,,,,
1667646000,,,,,,,,
1667649600,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly 
1667653200,,,,,,,,
1667656800,,,,,,,,
1667660400,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Cloudy,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly 
1667664000,,,,,,,,
1667667600,,,,,,,,
1667671200,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Cloudy,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly 
1667674800,,,,,,,,
1667678400,,,,,,,,
1667682000,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly ,Mainly Cloudly 
1667685600,,,,,,,,
1667689200,,,,,,,,
1667692800,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667696400,,,,,,,,
1667700000,,,,,,,,
1667703600,Cloudy,Cloudy,Cloudy,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Cloudy
1667707200,,,,,,,,
1667710800,,,,,,,,
1667714400,Cloudy,Cloudy,Cloudy,Sunny Intervals,Sunny Intervals,Sunny Intervals,Cloudy,Cloudy
1667718000,,,,,,,,
1667721600,,,,,,,,
1667725200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667728800,,,,,,,,
1667732400,,,,,,,,
1667736000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667739600,,,,,,,,
1667743200,,,,,,,,
1667746800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667750400,,,,,,,,
1667754000,,,,,,,,
1667757600,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667761200,,,,,,,,
1667764800,,,,,,,,
1667768400,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667772000,,,,,,,,
1667775600,,,,,,,,
1667779200,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667782800,,,,,,,,
1667786400,,,,,,,,
1667790000,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667793600,,,,,,,,
1667797200,,,,,,,,
1667800800,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
1667804400,,,,,,,,
1667808000,,,,,,,,
1667811600,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals,Sunny Intervals
1667815200,,,,,,,,
1667818800,,,,,,,,
1667822400,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly,Mainly Cloudly
1667826000,,,,,,,,
1667829600,,,,,,,,
1667833200,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Cloudly
1667836800,,,,,,,,
1667840400,,,,,,,,
1667844000,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Fine,Mainly Cloudly
1667847600,,,,,,,,
1667851200,,,,,,,,
1667854800,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Cloudly,Mainly Cloudly,Mainly Fine,Mainly Cloudly,Mainly Cloudly
1667858400,,,,,,,,
1667862000,,,,,,,,
1667865600,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Intervals,Sunny Intervals,Sunny Periods,Sunny Intervals,Sunny Intervals
1667869200,,,,,,,,
1667872800,,,,,,,,
1667876400,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
1667880000,,,,,,,,
1667883600,,,,,,,,
1667887200,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
1667890800,,,,,,,,
1667894400,,,,,,,,
1667898000,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
1667901600,,,,,,,,
1667905200,,,,,,,,
1667908800,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
1667912400,,,,,,,,
1667916000,,,,,,,,
1667919600,Unknown,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine
1667923200,,,,,,,,
1667926800,,,,,,,,
1667930400,Unknown,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine
1667934000,,,,,,,,
