ts,cch_windDir,g153_windDir,hka_windDir,lfs_windDir,sha_windDir,skg_windDir,tkl_windDir,ty1_windDir,cch_windspeed,g153_windspeed,hka_windspeed,lfs_windspeed,sha_windspeed,skg_windspeed,tkl_windspeed,ty1_windspeed
1667236260.0,7.0,,19.0,,,,,330.0,48.0,,24.0,,,,,15.0
1667236320.0,7.0,,18.0,,,,,328.0,48.0,,23.0,,,,,15.0
1667236380.0,8.0,,19.0,,,,,327.0,50.0,,23.0,,,,,15.0
1667236440.0,9.0,,21.0,,,,,329.0,50.0,,22.0,,,,,15.0
1667236500.0,9.0,,22.0,,,,,327.0,51.0,,22.0,,,,,14.0
1667236560.0,9.0,,22.0,,,,,323.0,53.0,,22.0,,,,,13.0
1667236620.0,9.0,,22.0,,,,,321.0,53.0,,22.0,,,,,14.0
1667236680.0,9.0,,24.0,,,,,320.0,53.0,,22.0,,,,,14.0
1667236740.0,9.0,,24.0,,,,,319.0,53.0,,22.0,,,,,14.0
1667236800.0,9.0,,24.0,,,,,317.0,53.0,,22.0,,,,,13.0
1667236860.0,10.0,4.0,25.0,2.0,32.0,14.0,,319.0,51.0,22.0,22.0,25.0,23.0,46.0,,13.0
1667236920.0,9.0,1.0,27.0,3.0,32.0,15.0,,326.0,50.0,21.0,22.0,25.0,22.0,47.0,,13.0
1667236980.0,8.0,2.0,28.0,3.0,32.0,15.0,,327.0,48.0,22.0,22.0,24.0,22.0,46.0,,12.0
1667237040.0,8.0,4.0,28.0,3.0,32.0,15.0,,328.0,48.0,23.0,22.0,24.0,21.0,46.0,,13.0
1667237100.0,7.0,3.0,27.0,3.0,30.0,14.0,,315.0,48.0,23.0,22.0,24.0,21.0,46.0,,14.0
1667237160.0,8.0,5.0,26.0,2.0,28.0,13.0,,323.0,47.0,23.0,22.0,24.0,20.0,45.0,,14.0
1667237220.0,7.0,4.0,24.0,1.0,29.0,14.0,,331.0,46.0,22.0,22.0,24.0,19.0,45.0,,14.0
1667237280.0,7.0,4.0,22.0,2.0,28.0,13.0,,331.0,45.0,22.0,23.0,25.0,18.0,43.0,,14.0
1667237340.0,7.0,5.0,21.0,2.0,29.0,10.0,,331.0,45.0,22.0,23.0,26.0,19.0,41.0,,14.0
1667237400.0,6.0,5.0,21.0,2.0,30.0,9.0,,321.0,45.0,23.0,24.0,26.0,19.0,42.0,,14.0
1667237460.0,5.0,5.0,20.0,2.0,31.0,8.0,,323.0,46.0,23.0,24.0,26.0,19.0,41.0,,13.0
1667237520.0,6.0,6.0,18.0,2.0,29.0,8.0,,322.0,48.0,24.0,24.0,26.0,19.0,41.0,,14.0
1667237580.0,6.0,6.0,16.0,1.0,29.0,5.0,,322.0,49.0,23.0,24.0,26.0,19.0,40.0,,14.0
1667237640.0,6.0,5.0,16.0,1.0,28.0,5.0,,322.0,50.0,24.0,24.0,27.0,20.0,38.0,,14.0
1667237700.0,6.0,9.0,16.0,1.0,27.0,6.0,,323.0,51.0,24.0,24.0,27.0,21.0,37.0,,13.0
1667237760.0,7.0,8.0,15.0,2.0,26.0,6.0,,324.0,51.0,23.0,23.0,26.0,21.0,37.0,,12.0
1667237820.0,7.0,8.0,16.0,2.0,26.0,6.0,,323.0,51.0,24.0,23.0,27.0,22.0,38.0,,12.0
1667237880.0,7.0,11.0,17.0,1.0,26.0,6.0,,325.0,51.0,24.0,22.0,27.0,23.0,39.0,,12.0
1667237940.0,7.0,10.0,16.0,1.0,26.0,7.0,,323.0,51.0,24.0,22.0,27.0,23.0,40.0,,13.0
1667238000.0,8.0,9.0,15.0,2.0,25.0,7.0,,323.0,51.0,23.0,21.0,27.0,23.0,39.0,,14.0
1667238060.0,8.0,7.0,13.0,2.0,22.0,9.0,,321.0,51.0,23.0,22.0,27.0,23.0,40.0,,15.0
1667238120.0,8.0,6.0,12.0,3.0,24.0,8.0,,320.0,51.0,23.0,22.0,27.0,23.0,39.0,,16.0
1667238180.0,8.0,5.0,12.0,4.0,26.0,9.0,,318.0,50.0,24.0,22.0,27.0,23.0,40.0,,17.0
1667238240.0,8.0,5.0,11.0,4.0,27.0,11.0,,319.0,49.0,23.0,23.0,27.0,23.0,40.0,,16.0
1667238300.0,9.0,21.0,12.0,6.0,31.0,10.0,,323.0,48.0,22.0,23.0,27.0,22.0,41.0,,15.0
1667238360.0,8.0,17.0,13.0,6.0,33.0,11.0,,323.0,49.0,23.0,23.0,28.0,22.0,41.0,,15.0
1667238420.0,8.0,14.0,12.0,7.0,33.0,8.0,,324.0,50.0,23.0,23.0,28.0,21.0,40.0,,16.0
1667238480.0,9.0,11.0,12.0,9.0,33.0,8.0,,323.0,50.0,23.0,24.0,28.0,21.0,40.0,,16.0
1667238540.0,8.0,11.0,12.0,9.0,33.0,9.0,,320.0,50.0,24.0,24.0,27.0,21.0,40.0,,15.0
1667238600.0,7.0,9.0,13.0,10.0,35.0,8.0,,318.0,50.0,24.0,24.0,26.0,21.0,40.0,,15.0
1667238660.0,7.0,5.0,13.0,10.0,37.0,7.0,26.0,318.0,49.0,23.0,24.0,26.0,21.0,39.0,22.0,15.0
1667238720.0,7.0,5.0,13.0,10.0,37.0,8.0,26.0,317.0,49.0,22.0,24.0,25.0,21.0,39.0,19.0,15.0
1667238780.0,7.0,3.0,13.0,10.0,37.0,8.0,26.0,316.0,50.0,23.0,24.0,24.0,19.0,40.0,19.0,14.0
1667238840.0,7.0,360.0,14.0,11.0,35.0,8.0,24.0,316.0,50.0,23.0,24.0,24.0,18.0,40.0,18.0,15.0
1667238900.0,6.0,360.0,12.0,12.0,35.0,8.0,24.0,316.0,49.0,24.0,24.0,25.0,18.0,39.0,19.0,16.0
1667238960.0,7.0,1.0,11.0,12.0,34.0,8.0,24.0,316.0,49.0,23.0,25.0,26.0,18.0,38.0,19.0,16.0
1667239020.0,7.0,2.0,10.0,13.0,33.0,8.0,22.0,314.0,48.0,23.0,25.0,27.0,18.0,37.0,19.0,16.0
1667239080.0,7.0,5.0,10.0,14.0,33.0,8.0,20.0,314.0,48.0,23.0,25.0,30.0,18.0,37.0,21.0,16.0
1667239140.0,8.0,5.0,10.0,15.0,32.0,6.0,17.0,320.0,49.0,24.0,26.0,32.0,17.0,35.0,22.0,17.0
1667239200.0,9.0,7.0,12.0,15.0,30.0,7.0,16.0,321.0,49.0,23.0,26.0,33.0,17.0,34.0,22.0,15.0
1667239260.0,9.0,11.0,12.0,14.0,29.0,7.0,14.0,321.0,48.0,24.0,25.0,35.0,17.0,34.0,22.0,15.0
1667239320.0,8.0,11.0,13.0,14.0,27.0,6.0,16.0,323.0,47.0,26.0,25.0,38.0,18.0,33.0,23.0,15.0
1667239380.0,8.0,13.0,12.0,14.0,27.0,4.0,17.0,312.0,48.0,27.0,25.0,40.0,19.0,30.0,23.0,15.0
1667239440.0,9.0,16.0,10.0,13.0,27.0,2.0,19.0,320.0,49.0,27.0,26.0,42.0,19.0,30.0,23.0,15.0
1667239500.0,9.0,16.0,11.0,13.0,29.0,1.0,19.0,317.0,51.0,26.0,26.0,43.0,19.0,30.0,22.0,15.0
1667239560.0,8.0,15.0,12.0,12.0,31.0,2.0,19.0,309.0,51.0,26.0,27.0,42.0,19.0,30.0,23.0,15.0
1667239620.0,8.0,16.0,13.0,9.0,30.0,2.0,19.0,309.0,51.0,25.0,27.0,41.0,19.0,29.0,23.0,14.0
1667239680.0,8.0,15.0,14.0,6.0,30.0,2.0,19.0,309.0,51.0,25.0,27.0,40.0,19.0,28.0,24.0,12.0
1667239740.0,8.0,13.0,14.0,5.0,32.0,2.0,21.0,358.0,51.0,23.0,28.0,38.0,19.0,28.0,25.0,12.0
1667239800.0,7.0,9.0,13.0,4.0,33.0,360.0,22.0,355.0,51.0,23.0,28.0,37.0,21.0,28.0,24.0,13.0
