ts,cch_windDir,g153_windDir,hka_windDir,hko_windDir,hks_windDir,jkb_windDir,lfs_windDir,pen_windDir,sek_windDir,sha_windDir,skg_windDir,tkl_windDir,tpo_windDir,tun_windDir,ty1_windDir,wgl_windDir,cch_windspeed,g153_windspeed,hka_windspeed,hko_windspeed,hks_windspeed,jkb_windspeed,lfs_windspeed,pen_windspeed,sek_windspeed,sha_windspeed,skg_windspeed,tkl_windspeed,tpo_windspeed,tun_windspeed,ty1_windspeed,wgl_windspeed
1696733460.0,357.0,68.0,8.0,301.0,75.0,1.0,12.0,345.0,,43.0,353.0,5.0,,3.0,323.0,20.0,53.0,23.0,17.0,7.0,17.0,15.0,30.0,34.0,,19.0,30.0,18.0,,11.0,12.0,66.0
1696733520.0,357.0,66.0,8.0,301.0,76.0,1.0,12.0,345.0,,45.0,354.0,5.0,,346.0,322.0,20.0,53.0,23.0,17.0,7.0,16.0,15.0,30.0,34.0,,19.0,30.0,17.0,,11.0,12.0,66.0
1696733580.0,357.0,65.0,8.0,262.0,75.0,2.0,13.0,345.0,,44.0,354.0,5.0,,353.0,320.0,20.0,52.0,23.0,17.0,7.0,17.0,15.0,30.0,34.0,,19.0,32.0,17.0,,12.0,14.0,67.0
1696733640.0,357.0,63.0,8.0,301.0,73.0,1.0,13.0,344.0,,44.0,354.0,6.0,,352.0,320.0,20.0,51.0,22.0,18.0,8.0,16.0,17.0,30.0,34.0,,19.0,32.0,16.0,,11.0,14.0,67.0
1696733700.0,358.0,59.0,10.0,9999.0,70.0,2.0,14.0,343.0,,45.0,355.0,6.0,,356.0,321.0,20.0,51.0,23.0,17.0,6.0,16.0,17.0,30.0,35.0,,19.0,32.0,16.0,,12.0,14.0,67.0
1696733760.0,358.0,56.0,12.0,294.0,70.0,3.0,15.0,343.0,,45.0,356.0,6.0,,360.0,326.0,20.0,50.0,22.0,16.0,6.0,15.0,17.0,29.0,35.0,,19.0,33.0,17.0,,12.0,14.0,67.0
1696733820.0,357.0,57.0,15.0,288.0,70.0,4.0,15.0,342.0,,44.0,356.0,6.0,,3.0,327.0,21.0,50.0,23.0,17.0,5.0,15.0,17.0,29.0,35.0,,19.0,34.0,17.0,,12.0,12.0,68.0
1696733880.0,357.0,56.0,17.0,285.0,71.0,5.0,16.0,341.0,,44.0,356.0,5.0,,2.0,329.0,22.0,50.0,22.0,16.0,5.0,16.0,17.0,30.0,35.0,,19.0,34.0,17.0,,12.0,12.0,69.0
1696733940.0,357.0,54.0,17.0,287.0,75.0,4.0,16.0,341.0,,44.0,356.0,5.0,,2.0,328.0,22.0,50.0,23.0,16.0,5.0,15.0,16.0,30.0,35.0,,19.0,33.0,18.0,,12.0,14.0,70.0
1696734000.0,358.0,53.0,18.0,287.0,9999.0,4.0,16.0,341.0,,44.0,357.0,5.0,,5.0,331.0,22.0,49.0,22.0,17.0,5.0,15.0,16.0,30.0,34.0,,20.0,32.0,18.0,,12.0,13.0,70.0
