,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
63,1658858400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
64,1658862000,,,,,,,,,,,,,,,,,,
65,1658865600,,,,,,,,,,,,,,,,,,
66,1658869200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
67,1658872800,,,,,,,,,,,,,,,,,,
68,1658876400,,,,,,,,,,,,,,,,,,
69,1658880000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
70,1658883600,,,,,,,,,,,,,,,,,,
71,1658887200,,,,,,,,,,,,,,,,,,
72,1658890800,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny
73,1658894400,,,,,,,,,,,,,,,,,,
74,1658898000,,,,,,,,,,,,,,,,,,
75,1658901600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny
76,1658905200,,,,,,,,,,,,,,,,,,
77,1658908800,,,,,,,,,,,,,,,,,,
78,1658912400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
79,1658916000,,,,,,,,,,,,,,,,,,
80,1658919600,,,,,,,,,,,,,,,,,,
81,1658923200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
82,1658926800,,,,,,,,,,,,,,,,,,
83,1658930400,,,,,,,,,,,,,,,,,,
84,1658934000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
85,1658937600,,,,,,,,,,,,,,,,,,
86,1658941200,,,,,,,,,,,,,,,,,,
87,1658944800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
88,1658948400,,,,,,,,,,,,,,,,,,
89,1658952000,,,,,,,,,,,,,,,,,,
90,1658955600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
91,1658959200,,,,,,,,,,,,,,,,,,
92,1658962800,,,,,,,,,,,,,,,,,,
93,1658966400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
94,1658970000,,,,,,,,,,,,,,,,,,
95,1658973600,,,,,,,,,,,,,,,,,,
96,1658977200,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods
97,1658980800,,,,,,,,,,,,,,,,,,
98,1658984400,,,,,,,,,,,,,,,,,,
99,1658988000,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods
100,1658991600,,,,,,,,,,,,,,,,,,
101,1658995200,,,,,,,,,,,,,,,,,,
102,1658998800,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
103,1659002400,,,,,,,,,,,,,,,,,,
104,1659006000,,,,,,,,,,,,,,,,,,
105,1659009600,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
106,1659013200,,,,,,,,,,,,,,,,,,
107,1659016800,,,,,,,,,,,,,,,,,,
108,1659020400,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown
109,1659024000,,,,,,,,,,,,,,,,,,
110,1659027600,,,,,,,,,,,,,,,,,,
111,1659031200,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown
112,1659034800,,,,,,,,,,,,,,,,,,
113,1659038400,,,,,,,,,,,,,,,,,,
114,1659042000,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Unknown,Mainly Fine,Mainly Fine
115,1659045600,,,,,,,,,,,,,,,,,,
116,1659049200,,,,,,,,,,,,,,,,,,
117,1659052800,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny Periods,Sunny Periods
118,1659056400,,,,,,,,,,,,,,,,,,
119,1659060000,,,,,,,,,,,,,,,,,,
120,1659063600,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
121,1659067200,,,,,,,,,,,,,,,,,,
122,1659070800,,,,,,,,,,,,,,,,,,
123,1659074400,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
124,1659078000,,,,,,,,,,,,,,,,,,
125,1659081600,,,,,,,,,,,,,,,,,,
126,1659085200,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
127,1659088800,,,,,,,,,,,,,,,,,,
128,1659092400,,,,,,,,,,,,,,,,,,
129,1659096000,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
130,1659099600,,,,,,,,,,,,,,,,,,
131,1659103200,,,,,,,,,,,,,,,,,,
132,1659106800,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
133,1659110400,,,,,,,,,,,,,,,,,,
134,1659114000,,,,,,,,,,,,,,,,,,
135,1659117600,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
136,1659121200,,,,,,,,,,,,,,,,,,
137,1659124800,,,,,,,,,,,,,,,,,,
138,1659128400,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine,Mainly Fine
