,ts,chanceOfRain,weather
0,1658592000,0.0,Sunny
1,1658678400,0.2,Sunny
2,1658764800,0.2,Sunny
3,1658851200,0.2,Sunny
4,1658937600,0.2,Sunny
5,1659024000,0.4,Sunny Periods
6,1659110400,0.4,Sunny
7,1659196800,0.4,Sunny
8,1659283200,0.6,Sunny
9,1659369600,0.6,Sunny
