ts,cch_windDir,g153_windDir,hka_windDir,hko_windDir,hks_windDir,jkb_windDir,lfs_windDir,pen_windDir,sek_windDir,sha_windDir,skg_windDir,tkl_windDir,tpo_windDir,tun_windDir,ty1_windDir,wgl_windDir,cch_windspeed,g153_windspeed,hka_windspeed,hko_windspeed,hks_windspeed,jkb_windspeed,lfs_windspeed,pen_windspeed,sek_windspeed,sha_windspeed,skg_windspeed,tkl_windspeed,tpo_windspeed,tun_windspeed,ty1_windspeed,wgl_windspeed
1696710060,352.0,355.0,8.0,299.0,316.0,50.0,16.0,345.0,,12.0,347.0,8.0,,349.0,307.0,357.0,47.0,11.0,22.0,8.0,14.0,14.0,27.0,33.0,,13.0,32.0,12.0,,11.0,11.0,62.0
1696710120,351.0,354.0,7.0,297.0,320.0,52.0,16.0,344.0,,11.0,347.0,11.0,,349.0,309.0,357.0,48.0,11.0,22.0,8.0,14.0,13.0,27.0,33.0,,14.0,33.0,12.0,,10.0,10.0,62.0
1696710180,352.0,360.0,8.0,297.0,320.0,57.0,16.0,345.0,,10.0,346.0,10.0,,348.0,311.0,357.0,48.0,12.0,21.0,8.0,14.0,14.0,26.0,33.0,,14.0,33.0,12.0,,10.0,10.0,62.0
1696710240,353.0,360.0,8.0,296.0,323.0,58.0,16.0,344.0,,10.0,346.0,10.0,,348.0,312.0,357.0,48.0,12.0,20.0,8.0,13.0,14.0,25.0,34.0,,14.0,33.0,12.0,,11.0,9.0,61.0
1696710300,353.0,359.0,7.0,297.0,326.0,58.0,16.0,344.0,,10.0,347.0,11.0,,349.0,309.0,357.0,48.0,12.0,19.0,8.0,12.0,15.0,24.0,34.0,,13.0,32.0,12.0,,10.0,8.0,62.0
1696710360,353.0,360.0,7.0,297.0,327.0,58.0,16.0,344.0,,13.0,347.0,10.0,,349.0,302.0,357.0,47.0,12.0,19.0,8.0,12.0,15.0,23.0,34.0,,13.0,32.0,14.0,,10.0,8.0,62.0
1696710420,352.0,359.0,6.0,296.0,325.0,16.0,16.0,344.0,,13.0,346.0,11.0,,351.0,299.0,357.0,47.0,12.0,19.0,8.0,12.0,15.0,22.0,34.0,,12.0,32.0,14.0,,9.0,7.0,62.0
1696710480,353.0,358.0,7.0,294.0,328.0,15.0,16.0,343.0,,15.0,345.0,11.0,,351.0,295.0,356.0,47.0,12.0,19.0,8.0,12.0,14.0,21.0,33.0,,12.0,32.0,14.0,,9.0,6.0,62.0
1696710540,353.0,359.0,6.0,297.0,327.0,17.0,16.0,341.0,,14.0,344.0,15.0,,351.0,290.0,356.0,47.0,14.0,20.0,9.0,12.0,16.0,21.0,33.0,,12.0,32.0,14.0,,9.0,6.0,62.0
1696710600,352.0,2.0,7.0,300.0,332.0,23.0,16.0,342.0,,16.0,344.0,15.0,,351.0,288.0,356.0,48.0,14.0,21.0,8.0,12.0,16.0,21.0,32.0,,12.0,31.0,14.0,,9.0,6.0,62.0
